rec_id,subscriber_id,amount,recharge_date
rec_141,sub_40,10,2025-05-06
rec_142,sub_40,100,2025-04-30
rec_143,sub_41,50,2025-05-26
rec_144,sub_41,100,2025-05-19
rec_145,sub_41,20,2025-05-10
rec_146,sub_41,50,2025-05-03
rec_147,sub_41,50,2025-04-23
rec_148,sub_44,100,2025-05-24
rec_149,sub_44,50,2025-05-15
rec_150,sub_44,100,2025-05-09
rec_151,sub_44,50,2025-04-30
rec_152,sub_44,10,2025-04-21
rec_153,sub_48,50,2025-05-27
rec_154,sub_48,50,2025-05-18
rec_155,sub_48,10,2025-05-12
rec_156,sub_48,20,2025-05-02
rec_157,sub_48,10,2025-04-22
rec_158,sub_51,20,2025-05-24
rec_159,sub_51,50,2025-05-18
rec_160,sub_51,20,2025-05-10
rec_161,sub_51,10,2025-05-04
rec_162,sub_51,100,2025-04-27
rec_163,sub_54,100,2025-05-25
rec_164,sub_54,10,2025-05-15
rec_165,sub_54,20,2025-05-08
rec_166,sub_54,100,2025-05-01
rec_167,sub_54,100,2025-04-21
rec_168,sub_56,100,2025-05-27
rec_169,sub_56,10,2025-05-19
rec_170,sub_56,50,2025-05-13
rec_171,sub_56,20,2025-05-03
rec_172,sub_56,10,2025-04-25
rec_173,sub_57,20,2025-05-24
rec_174,sub_57,50,2025-05-14
rec_175,sub_57,50,2025-05-07
rec_176,sub_57,10,2025-04-29
rec_177,sub_57,50,2025-04-21
rec_178,sub_60,100,2025-05-25
rec_179,sub_60,20,2025-05-18
rec_180,sub_60,100,2025-05-12
rec_181,sub_60,50,2025-05-02
rec_182,sub_60,10,2025-04-23
rec_183,sub_61,100,2025-05-25
rec_184,sub_61,10,2025-05-17
rec_185,sub_61,20,2025-05-07
rec_186,sub_61,10,2025-04-30
rec_187,sub_61,20,2025-04-20
rec_188,sub_63,10,2025-05-28
rec_189,sub_63,50,2025-05-18
rec_190,sub_63,20,2025-05-08
rec_191,sub_63,10,2025-05-02
rec_192,sub_63,100,2025-04-24
rec_193,sub_65,100,2025-05-28
rec_194,sub_65,20,2025-05-19
rec_195,sub_65,20,2025-05-10
rec_196,sub_65,10,2025-05-03
rec_197,sub_65,50,2025-04-27
rec_198,sub_67,100,2025-05-26
rec_199,sub_67,100,2025-05-20
rec_200,sub_67,10,2025-05-13
rec_201,sub_67,20,2025-05-04
rec_202,sub_67,100,2025-04-27
rec_203,sub_68,10,2025-05-28
rec_204,sub_68,10,2025-05-20
rec_205,sub_68,100,2025-05-11
rec_206,sub_68,20,2025-05-05
rec_207,sub_68,50,2025-04-28
rec_208,sub_69,20,2025-05-28
rec_209,sub_69,20,2025-05-19
rec_210,sub_69,100,2025-05-09
rec_211,sub_69,100,2025-05-01
rec_212,sub_69,100,2025-04-21
rec_213,sub_70,100,2025-05-24
rec_214,sub_70,10,2025-05-14
rec_215,sub_70,10,2025-05-08
rec_216,sub_70,10,2025-04-28
rec_217,sub_70,50,2025-04-20
rec_218,sub_71,50,2025-05-29
rec_219,sub_71,50,2025-05-23
rec_220,sub_71,100,2025-05-14
rec_221,sub_71,20,2025-05-06
rec_222,sub_71,100,2025-04-27
rec_223,sub_72,50,2025-05-24
rec_224,sub_72,10,2025-05-14
rec_225,sub_72,10,2025-05-07
rec_226,sub_72,20,2025-04-28
rec_227,sub_72,10,2025-04-21
rec_228,sub_76,50,2025-05-25
rec_229,sub_76,50,2025-05-18
rec_230,sub_76,100,2025-05-08
rec_231,sub_76,20,2025-05-02
rec_232,sub_76,20,2025-04-26
rec_233,sub_77,100,2025-05-25
rec_234,sub_77,100,2025-05-19
rec_235,sub_77,10,2025-05-10
rec_236,sub_77,50,2025-05-04
rec_237,sub_77,50,2025-04-25
rec_238,sub_78,10,2025-05-27
rec_239,sub_78,20,2025-05-17
rec_240,sub_78,100,2025-05-09
rec_241,sub_78,20,2025-05-01
rec_242,sub_78,100,2025-04-25
rec_243,sub_79,50,2025-05-26
rec_244,sub_79,10,2025-05-20
rec_245,sub_79,50,2025-05-13
rec_246,sub_79,20,2025-05-05
rec_247,sub_79,10,2025-04-28
rec_248,sub_83,20,2025-05-24
rec_249,sub_83,10,2025-05-15
rec_250,sub_83,100,2025-05-09
rec_251,sub_83,10,2025-05-02
rec_252,sub_83,100,2025-04-26
rec_253,sub_84,100,2025-05-25
rec_254,sub_84,50,2025-05-17
rec_255,sub_84,10,2025-05-08
rec_256,sub_84,10,2025-04-30
rec_257,sub_84,10,2025-04-22
rec_258,sub_85,50,2025-05-27
rec_259,sub_85,10,2025-05-19
rec_260,sub_85,50,2025-05-09
rec_261,sub_85,20,2025-05-01
rec_262,sub_85,50,2025-04-24
rec_263,sub_86,10,2025-05-25
rec_264,sub_86,10,2025-05-16
rec_265,sub_86,20,2025-05-06
rec_266,sub_86,50,2025-04-30
rec_267,sub_86,50,2025-04-24
rec_268,sub_87,50,2025-05-24
rec_269,sub_87,10,2025-05-14
rec_270,sub_87,20,2025-05-07
rec_271,sub_87,20,2025-04-27
rec_272,sub_87,100,2025-04-17
rec_273,sub_88,50,2025-05-29
rec_274,sub_88,50,2025-05-19
rec_275,sub_88,10,2025-05-10
rec_276,sub_88,100,2025-05-04
rec_277,sub_88,20,2025-04-28
rec_278,sub_89,100,2025-05-29
rec_279,sub_89,50,2025-05-22
rec_280,sub_89,50,2025-05-14
rec_281,sub_89,50,2025-05-05
rec_282,sub_89,50,2025-04-28
rec_283,sub_90,100,2025-05-24
rec_284,sub_90,50,2025-05-15
rec_285,sub_90,50,2025-05-05
rec_286,sub_90,50,2025-04-26
rec_287,sub_90,50,2025-04-17
rec_288,sub_93,100,2025-05-28
rec_289,sub_93,10,2025-05-20
rec_290,sub_93,100,2025-05-11
rec_291,sub_93,100,2025-05-04
rec_292,sub_93,20,2025-04-27
rec_293,sub_94,100,2025-05-24
rec_294,sub_94,100,2025-05-15
rec_295,sub_94,10,2025-05-07
rec_296,sub_94,100,2025-04-28
rec_297,sub_94,100,2025-04-22
rec_298,sub_95,20,2025-05-26
rec_299,sub_95,10,2025-05-16
rec_300,sub_95,10,2025-05-07
rec_301,sub_95,10,2025-05-01
rec_302,sub_95,100,2025-04-22
rec_303,sub_96,10,2025-05-26
rec_304,sub_96,100,2025-05-17
rec_305,sub_96,10,2025-05-09
rec_306,sub_96,20,2025-04-29
rec_307,sub_96,10,2025-04-20
rec_308,sub_99,10,2025-05-26
rec_309,sub_99,100,2025-05-17
rec_310,sub_99,10,2025-05-11
rec_311,sub_99,100,2025-05-05
rec_312,sub_99,10,2025-04-26
rec_313,sub_100,100,2025-05-28
rec_314,sub_100,50,2025-05-22
rec_315,sub_100,100,2025-05-14
rec_316,sub_100,100,2025-05-04
rec_317,sub_100,50,2025-04-28
