inv_id,user_id,amount,status,due_date
inv_65,usr_22,29.99,PAID,2025-05-12
inv_66,usr_22,99.99,PAID,2025-04-27
inv_67,usr_23,299.99,FAILED,2025-06-12
inv_68,usr_23,29.99,FAILED,2025-05-01
inv_69,usr_23,299.99,FAILED,2025-04-24
inv_70,usr_24,99.99,PAID,2025-04-11
inv_71,usr_24,29.99,FAILED,2025-06-06
inv_72,usr_24,299.99,FAILED,2025-05-22
inv_73,usr_25,299.99,PAID,2025-05-29
inv_74,usr_25,299.99,PAID,2025-04-18
inv_75,usr_25,29.99,FAILED,2025-06-14
inv_76,usr_26,99.99,PAID,2025-04-12
inv_77,usr_26,29.99,PAID,2025-05-20
inv_78,usr_27,299.99,PAID,2025-05-04
inv_79,usr_27,299.99,PAID,2025-04-03
inv_80,usr_28,99.99,PAID,2025-04-23
inv_81,usr_28,29.99,PAID,2025-04-28
inv_82,usr_29,99.99,PAID,2025-04-14
inv_83,usr_29,29.99,PAID,2025-05-23
inv_84,usr_30,299.99,PAID,2025-05-08
inv_85,usr_30,299.99,PAID,2025-04-28
inv_86,usr_31,299.99,PAID,2025-05-11
inv_87,usr_31,99.99,PAID,2025-04-19
inv_88,usr_32,99.99,PAID,2025-04-04
inv_89,usr_32,99.99,PAID,2025-05-18
inv_90,usr_33,299.99,PAID,2025-05-29
inv_91,usr_33,99.99,FAILED,2025-04-07
inv_92,usr_34,99.99,PAID,2025-06-13
inv_93,usr_34,99.99,PAID,2025-04-17
inv_94,usr_35,99.99,PAID,2025-05-04
inv_95,usr_35,29.99,PAID,2025-05-01
inv_96,usr_36,29.99,FAILED,2025-05-01
inv_97,usr_36,29.99,PAID,2025-05-15
inv_98,usr_37,299.99,PAID,2025-06-10
inv_99,usr_37,99.99,PAID,2025-05-31
inv_100,usr_38,29.99,PAID,2025-06-12
inv_101,usr_38,99.99,PAID,2025-06-01
inv_102,usr_39,29.99,PAID,2025-06-16
inv_103,usr_39,99.99,PAID,2025-05-04
inv_104,usr_40,29.99,PAID,2025-05-04
inv_105,usr_40,99.99,PAID,2025-06-04
inv_106,usr_41,29.99,PAID,2025-04-09
inv_107,usr_41,99.99,PAID,2025-06-12
inv_108,usr_42,99.99,PAID,2025-04-20
inv_109,usr_42,299.99,PAID,2025-06-08
inv_110,usr_43,299.99,PAID,2025-04-29
inv_111,usr_43,29.99,PAID,2025-05-29
inv_112,usr_44,29.99,PAID,2025-05-02
inv_113,usr_44,99.99,PAID,2025-06-01
inv_114,usr_45,299.99,PAID,2025-05-13
inv_115,usr_45,29.99,PAID,2025-05-27
inv_116,usr_46,299.99,PAID,2025-04-28
inv_117,usr_46,99.99,PAID,2025-04-09
inv_118,usr_47,29.99,PAID,2025-04-03
inv_119,usr_47,99.99,PAID,2025-05-22
inv_120,usr_48,29.99,PAID,2025-05-28
inv_121,usr_48,299.99,PAID,2025-04-07
inv_122,usr_49,29.99,PAID,2025-04-28
inv_123,usr_49,299.99,PAID,2025-04-14
inv_124,usr_50,299.99,PAID,2025-06-01
inv_125,usr_50,29.99,PAID,2025-06-11
inv_126,usr_51,29.99,PAID,2025-04-21
inv_127,usr_51,29.99,PAID,2025-04-13
inv_128,usr_52,99.99,PAID,2025-05-11
inv_129,usr_52,99.99,PAID,2025-05-03
inv_130,usr_53,299.99,PAID,2025-05-07
inv_131,usr_53,299.99,PAID,2025-05-23
inv_132,usr_54,99.99,PAID,2025-04-18
inv_133,usr_54,99.99,PAID,2025-04-23
inv_134,usr_55,99.99,PAID,2025-06-08
inv_135,usr_55,29.99,PAID,2025-06-11
inv_136,usr_56,29.99,PAID,2025-05-24
inv_137,usr_56,99.99,PAID,2025-05-20
inv_138,usr_57,299.99,PAID,2025-05-05
inv_139,usr_57,299.99,PAID,2025-06-07
inv_140,usr_58,29.99,PAID,2025-06-03
inv_141,usr_58,29.99,PAID,2025-05-16
inv_142,usr_59,29.99,FAILED,2025-05-03
inv_143,usr_59,29.99,PAID,2025-04-05
inv_144,usr_60,29.99,FAILED,2025-04-17
inv_145,usr_60,29.99,PAID,2025-05-11
inv_146,usr_61,99.99,PAID,2025-05-07
inv_147,usr_61,299.99,PAID,2025-06-12
inv_148,usr_62,99.99,PAID,2025-04-04
inv_149,usr_62,99.99,PAID,2025-05-06
inv_150,usr_63,29.99,PAID,2025-04-09
inv_151,usr_63,29.99,PAID,2025-06-01
inv_152,usr_64,299.99,PAID,2025-04-04
inv_153,usr_64,99.99,PAID,2025-05-18
inv_154,usr_65,29.99,PAID,2025-05-19
inv_155,usr_65,29.99,PAID,2025-05-30
inv_156,usr_66,99.99,PAID,2025-05-03
inv_157,usr_66,299.99,PAID,2025-05-18
inv_158,usr_67,99.99,PAID,2025-06-09
inv_159,usr_67,99.99,PAID,2025-04-14
inv_160,usr_68,29.99,PAID,2025-05-15
inv_161,usr_68,99.99,PAID,2025-04-13
inv_162,usr_69,299.99,PAID,2025-05-09
inv_163,usr_69,299.99,PAID,2025-04-21
inv_164,usr_70,299.99,PAID,2025-04-16
inv_165,usr_70,99.99,PAID,2025-04-15
inv_166,usr_71,99.99,PAID,2025-06-08
inv_167,usr_71,299.99,PAID,2025-06-15
inv_168,usr_72,299.99,PAID,2025-05-02
inv_169,usr_72,299.99,PAID,2025-05-30
inv_170,usr_73,99.99,PAID,2025-04-27
inv_171,usr_73,29.99,PAID,2025-04-22
inv_172,usr_74,299.99,PAID,2025-04-13
inv_173,usr_74,29.99,PAID,2025-05-04
inv_174,usr_75,99.99,PAID,2025-05-21
inv_175,usr_75,29.99,PAID,2025-04-21
inv_176,usr_76,299.99,PAID,2025-06-10
inv_177,usr_76,29.99,PAID,2025-06-03
inv_178,usr_77,99.99,PAID,2025-04-06
inv_179,usr_77,29.99,PAID,2025-04-25
inv_180,usr_78,99.99,PAID,2025-06-09
inv_181,usr_78,99.99,PAID,2025-04-18
inv_182,usr_79,99.99,PAID,2025-04-29
inv_183,usr_79,99.99,PAID,2025-04-19
inv_184,usr_80,299.99,FAILED,2025-06-03
inv_185,usr_80,29.99,PAID,2025-04-28
inv_186,usr_81,29.99,PAID,2025-05-21
inv_187,usr_81,299.99,PAID,2025-05-08
inv_188,usr_82,29.99,PAID,2025-04-13
inv_189,usr_82,29.99,PAID,2025-04-24
inv_190,usr_83,99.99,PAID,2025-05-05
inv_191,usr_83,29.99,PAID,2025-05-28
inv_192,usr_84,29.99,PAID,2025-06-11
inv_193,usr_84,299.99,PAID,2025-05-04
inv_194,usr_85,299.99,PAID,2025-06-13
inv_195,usr_85,99.99,PAID,2025-04-04
inv_196,usr_86,99.99,PAID,2025-06-09
inv_197,usr_86,29.99,PAID,2025-05-16
inv_198,usr_87,29.99,PAID,2025-05-24
inv_199,usr_87,99.99,PAID,2025-04-04
inv_200,usr_88,299.99,PAID,2025-05-10
inv_201,usr_88,29.99,PAID,2025-05-02
inv_202,usr_89,99.99,PAID,2025-05-10
inv_203,usr_89,99.99,PAID,2025-05-29
inv_204,usr_90,29.99,PAID,2025-04-29
inv_205,usr_90,299.99,PAID,2025-04-24
inv_206,usr_91,299.99,PAID,2025-04-22
inv_207,usr_91,29.99,PAID,2025-05-29
inv_208,usr_92,29.99,PAID,2025-06-15
inv_209,usr_92,99.99,PAID,2025-05-14
inv_210,usr_93,99.99,PAID,2025-05-03
inv_211,usr_93,29.99,PAID,2025-05-22
inv_212,usr_94,29.99,PAID,2025-05-23
inv_213,usr_94,29.99,PAID,2025-05-14
inv_214,usr_95,299.99,PAID,2025-04-22
inv_215,usr_95,99.99,PAID,2025-04-22
inv_216,usr_96,29.99,PAID,2025-06-08
inv_217,usr_96,299.99,FAILED,2025-04-27
inv_218,usr_97,99.99,PAID,2025-04-21
inv_219,usr_97,299.99,PAID,2025-04-03
inv_220,usr_98,29.99,PAID,2025-04-15
inv_221,usr_98,29.99,PAID,2025-05-20
inv_222,usr_99,29.99,PAID,2025-04-04
inv_223,usr_99,29.99,PAID,2025-06-05
inv_224,usr_100,29.99,PAID,2025-04-10
inv_225,usr_100,99.99,PAID,2025-06-06
